id,version_date,item,open,high,low,close,up_or_down,mapping,refresh_date
14969,2011-11-10,Au9999,364.91,366.8,358.0,358.89,-6.02,-1.0,2022-01-04 02:27:46
14975,2011-11-11,Au9999,363.0,363.0,356.1,361.19,2.3,1.0,2022-01-04 02:27:46
14981,2011-11-14,Au9999,366.0,366.5,365.1,365.7,4.51,1.0,2022-01-04 02:27:46
14987,2011-11-15,Au9999,365.7,365.7,354.9,362.63,-3.07,-1.0,2022-01-04 02:27:46
14993,2011-11-16,Au9999,363.48,364.9,361.1,362.17,-0.46,-1.0,2022-01-04 02:27:46
14999,2011-11-17,Au9999,364.0,364.0,359.0,361.1,-1.07,-1.0,2022-01-04 02:27:46
15006,2011-11-18,Au9999,361.1,361.1,351.2,353.7,-7.4,-1.0,2022-01-04 02:27:46
15011,2011-10-24,Au9999,339.9,341.95,337.5,341.46,4.72,1.0,2022-01-04 02:27:46
15017,2011-10-25,Au9999,343.0,343.0,340.0,341.5,0.04,1.0,2022-01-04 02:27:46
15024,2011-10-26,Au9999,342.0,353.9,340.3,352.5,11.0,1.0,2022-01-04 02:27:46
15030,2011-10-27,Au9999,352.0,355.1,351.0,352.97,0.47,1.0,2022-01-04 02:27:46
15036,2011-10-28,Au9999,354.0,359.66,353.0,356.34,3.37,1.0,2022-01-04 02:27:46
15043,2011-10-31,Au9999,358.5,358.5,349.8,350.49,-5.85,-1.0,2022-01-04 02:27:46
15049,2011-11-01,Au9999,352.95,352.95,351.0,351.27,0.78,1.0,2022-01-04 02:27:46
15055,2011-11-02,Au9999,351.27,353.99,345.0,353.52,2.25,1.0,2022-01-04 02:27:46
15061,2011-11-03,Au9999,355.49,356.99,352.0,353.4,-0.12,-1.0,2022-01-04 02:27:46
15067,2011-11-04,Au9999,361.0,361.0,356.01,359.49,6.09,1.0,2022-01-04 02:27:46
15074,2011-10-10,Au9999,338.49,345.0,338.49,342.91,4.42,1.0,2022-01-04 02:27:46
15081,2011-10-11,Au9999,344.5,347.9,341.0,346.79,3.88,1.0,2022-01-04 02:27:46
15087,2011-10-12,Au9999,346.79,346.79,343.01,346.22,-0.57,-1.0,2022-01-04 02:27:46
15093,2011-10-13,Au9999,346.22,350.0,346.0,347.0,0.78,1.0,2022-01-04 02:27:46
15099,2011-10-14,Au9999,347.0,347.0,343.11,345.61,-1.39,-1.0,2022-01-04 02:27:46
15105,2011-10-17,Au9999,348.0,349.8,346.5,348.29,2.68,1.0,2022-01-04 02:27:46
15111,2011-10-18,Au9999,348.29,348.29,343.4,343.62,-4.67,-1.0,2022-01-04 02:27:46
15117,2011-10-19,Au9999,343.62,344.68,337.0,340.8,-2.82,-1.0,2022-01-04 02:27:46
15124,2011-10-20,Au9999,343.6,343.6,332.8,334.98,-5.82,-1.0,2022-01-04 02:27:46
15130,2011-10-21,Au9999,336.0,337.2,332.41,336.74,1.76,1.0,2022-01-04 02:27:46
15136,2011-09-19,Au9999,377.3,377.3,374.8,377.2,10.27,1.0,2022-01-04 02:27:46
15142,2011-09-20,Au9999,377.4,377.4,367.0,370.63,-6.57,-1.0,2022-01-04 02:27:46
15148,2011-09-21,Au9999,371.0,374.99,368.48,374.61,3.98,1.0,2022-01-04 02:27:46
15154,2011-09-22,Au9999,374.61,374.61,367.7,368.0,-6.61,-1.0,2022-01-04 02:27:46
15161,2011-09-23,Au9999,368.0,368.0,358.0,360.0,-8.0,-1.0,2022-01-04 02:27:46
15166,2011-09-26,Au9999,351.0,351.0,322.0,327.56,-32.44,-1.0,2022-01-04 02:27:46
15172,2011-09-27,Au9999,339.9,343.8,326.0,342.37,14.81,1.0,2022-01-04 02:27:46
15178,2011-09-28,Au9999,345.0,345.0,338.02,343.25,0.88,1.0,2022-01-04 02:27:46
15185,2011-09-29,Au9999,343.25,343.25,330.0,336.0,-7.25,-1.0,2022-01-04 02:27:46
15191,2011-09-30,Au9999,336.0,340.0,333.5,338.49,2.49,1.0,2022-01-04 02:27:46
15197,2020-12-23,Au9999,390.31,392.5,388.6,390.12,-0.2,-1.0,2022-01-04 02:27:46
15210,2020-12-24,Au9999,388.55,391.8,387.6,390.4,0.28,1.0,2022-01-04 02:27:46
15224,2020-12-25,Au9999,389.73,392.74,389.11,392.21,1.81,1.0,2022-01-04 02:27:46
15236,2020-12-28,Au9999,392.99,396.0,391.36,391.61,-0.6,-1.0,2022-01-04 02:27:46
15250,2020-12-29,Au9999,391.4,395.0,389.8,390.66,-0.95,-1.0,2022-01-04 02:27:46
15263,2020-12-30,Au9999,390.8,391.5,389.8,390.39,-0.27,-1.0,2022-01-04 02:27:46
15276,2020-12-31,Au9999,389.54,394.5,389.54,390.0,-0.39,-1.0,2022-01-04 02:27:46
15289,2021-01-04,Au9999,397.48,399.5,396.0,398.09,8.09,1.0,2022-01-04 02:27:46
15301,2021-01-05,Au9999,398.12,401.2,398.12,401.0,2.91,1.0,2022-01-04 02:27:46
15313,2021-01-06,Au9999,401.58,402.48,399.71,400.73,-0.27,-1.0,2022-01-04 02:27:46
15327,2011-09-02,Au9999,377.0,380.2,374.16,380.19,5.08,1.0,2022-01-04 02:27:46
15333,2011-09-05,Au9999,388.6,388.6,385.31,387.59,7.4,1.0,2022-01-04 02:27:46
